dataset,dataset_type,variable,variable_label,package,fn,fn_url,resource1_text,resource1_url
ADAE,OCCDS,AENDTF,Analysis End Date Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,AENTMF,Analysis End Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTDTM,Analysis Start Date/Time,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTDTF,Analysis Start Date Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTTMF,Analysis Start Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,LDOSEDTM,End Date/Time of Last Dose,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADBCVA,OCCDS,PARAM,Derive a list of parameters,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,"PARAMCD=""SBCVALOG""",Derive study eye visual acuity log MAR Score,admiral,derive_param_computed,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_computed.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,"PARAMCD=""FBCVALOG""",Derive fellow eye visual acuity log MAR Score,admiral,derive_param_computed,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_computed.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ADT,Derive analysis date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ONTRTFL,Derive on-treatment flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ABLFL,Derive analysis baseline flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ANL01FL,Derive flag last result within a visit and timepoint for baseline and post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ANL02FL,Derive flag last result within a PARAMCD for baseline & post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,WORS01FL,Derive flag worst result within a PARAMCD for baseline & post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,BASE,Calculate BASE,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,BASEC,Calculate BASEC,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,CHG,Derive change from baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,PCHG,Derive percent change from baseline,admiral,derive_var_pchg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_pchg.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ASEQ,Derive sequential number for observations within each by group,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,STUDYEYE,Derive study eye,admiralophtha,derive_var_studyeye,https://pharmaverse.github.io/admiralophtha/reference/derive_var_studyeye.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,AFEYE,Derive affected eye,admiralophtha,derive_var_afeye,https://pharmaverse.github.io/admiralophtha/reference/derive_var_afeye.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADCE,ADSL,APERSDT,Derive period start date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,APEREDT,Derive period end date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ASTDT,Derive analysis start date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,AENDT,Derive analysis end date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,AOCC01FL,Derive occurrence flags: 1st occurrence of most severe solicited adverse events,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ADURN,Derive analysis duration (value and unit),admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ASEQ,Derive sequential number for observations within each by group,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ASTDY,Derive start relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,AENDY,Derive end relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCM,OCCDS,TRTSDT,Date of First Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,TRTEDT,Date of Last Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,DTHDT,Date of Death,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,EOSDT,End of Study Date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,TRT01P,Planned Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,TRT01A,Actual Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AOCCPFL,1st Occurrence of Preferred Term Flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDY,Analysis Start Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDY,Analysis End Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ADURN,Analysis Duration (N),admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDT,Analysis Start Date,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDT,Analysis End Date,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ONTRTFL,On Treatment Record Flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDTM,Analysis End Date/Time,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDTF,Analysis End Date Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENTMF,Analysis End Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDTM,Analysis Start Date/Time,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDTF,Analysis Start Date Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTTMF,Analysis Start Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADEG,BDS,ADTM,Analysis Datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRTSDT,Date of First Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRTEDT,Date of Last Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRT01A,Actual Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRT01P,Planned Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ATMF,Analysis Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ADY,Analysis Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,PARAMCD,Parameter Code,admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""RRR""",Derive RR based on heart rate for each by group,admiral,derive_param_rr,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_rr.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""QTCBR""",Derive a parameter for corrected QT using Bazett's,admiral,derive_param_qtc,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_qtc.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""QTCFR""",Derive a parameter for corrected QT using Fridericia's,admiral,derive_param_qtc,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_qtc.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""QTLCR""",Derive a parameter for corrected QT using Sagie's,admiral,derive_param_qtc,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_qtc.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,AVAL,Analysis Value,admiral,derive_summary_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_summary_records.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ONTRTFL,On Treatment Record Flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ANRIND,Analysis Reference Range Indicator,admiral,derive_var_anrind,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_anrind.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ASEQ,Analysis Sequence Number,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,BASE,Baseline Value,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,BASEC,Baseline Value (C),admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,BNRIND,Baseline Reference Range Indicator,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ABLFL,Baseline Record Flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ANL01FL,Analysis Flag 01,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,CHG,Change from Baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,PCHG,Percent Change from Baseline,admiral,derive_var_pchg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_pchg.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEX,OCCDS,TRTSDT,Date of First Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDTM,Analysis End Datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDTF,Analysis End Date Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENTMF,Analysis End Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDY,Analysis Start Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDY,Analysis End Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,EXDURD,Duration of Treatment (Days),admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDT,Analysis Start Date,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDT,Analysis End Date,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASEQ,Analysis Sequence Number,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDTM,Analysis Start Datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDTF,Analysis Start Date Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTTMF,Analysis Start Time Imputation Flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,TRTEDTM,Datetime of Last Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,TRTSDTM,Datetime of First Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADFACE,ADSL,ADTM,Derive analysis datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ADT,Derive analysis date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,APERSDT,Derive period start date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,APEREDT,Derive period end date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,TRTA,Derive actual treatment,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,TRTP,Derive planned treatment,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""SEV""","Derive  severity records from diameter for redness, swelling, etc",admiralvaccine,derive_diam_to_sev_records,https://pharmaverse.github.io/admiralvaccine/reference/derive_diam_to_sev_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""MAXSEV""",Deriving maximum severity for local and systemic events,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""MAXDIAM""",Deriving maximum diameter for administrative site reactions,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""MAXTEMP""",Deriving maximum temperature,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
